ID,SeriousDlqin2yrs
129460,0.1062266195430433
134018,0.014701217469681404
86523,0.013644035334908752
138466,0.012717682462432923
143905,0.012694730980781232
118893,0.4939892244525516
124587,0.012694730980781232
136337,0.06592386800194318
16700,0.015022292506438249
57857,0.058215678371065574
15734,0.01394759099199603
108865,0.012888643444197283
70643,0.01808667582660529
63937,0.014871554949632073
45630,0.4334444796741969
134,0.013137326051520334
19051,0.012705953973026731
70017,0.01291548889324053
141425,0.014172678006829276
54428,0.014622140425265289
22909,0.05407788648456679
50665,0.14262800221441962
14452,0.012973326746516016
25646,0.07414519337107929
7670,0.28516672733799653
58203,0.012784873894985891
34957,0.013398469381223157
12339,0.012873871078885397
57387,0.014548048806577016
135184,0.012815381484013106
67705,0.14958167135181552
88706,0.012791570521450267
50761,0.012717682462432923
128898,0.2789473482186194
141806,0.4743918850917385
26485,0.014473450206816696
35726,0.0853385431636827
7684,0.014835954309337011
110249,0.012736846151872303
93798,0.47142063446794646
15352,0.041915741993338085
124345,0.04394474547374623
114161,0.012708451225595375
134264,0.1226087533899638
25722,0.013150528989169767
80217,0.012694730980781232
39434,0.026584062817639385
148053,0.015886158697207817
36794,0.012704479541217992
36180,0.013433364504691873
111180,0.044671031925931075
109175,0.034175459249927785
89108,0.012819538904881729
102313,0.012933702273227819
1237,0.22608551128553558
115697,0.11419655290505483
117088,0.08019482931491069
32708,0.014562526731828791
56470,0.0489820561978704
32678,0.018006917814002685
7520,0.01437388578437063
19850,0.4811481052038051
59381,0.012912543408505797
72715,0.08029345342526056
120597,0.09360617946681256
64821,0.056164642238157196
85756,0.29648690843128245
87380,0.08278245569406473
4468,0.07743409580363886
117685,0.014488469934276705
14303,0.028566763212080036
137190,0.013131148544841518
16530,0.013232027144842133
87639,0.024399617833454033
52576,0.013552826483771067
51230,0.05969114573864141
8197,0.07975439228322355
8926,0.012788129646484354
12082,0.014737485440136245
36469,0.015093688465546951
71537,0.08681307593052832
143473,0.05107997112499896
40512,0.0748717301943604
142333,0.01277137096415351
122859,0.013543518671974864
123494,0.5431601959429561
11783,0.013895242982744353
93815,0.05034793862327888
34965,0.04186334413705413
28589,0.16854303837429355
4382,0.014098611257617246
103120,0.014454036035704528
67853,0.012717682462432923
1341,0.012864526008319612
61792,0.01274274838096742
133333,0.01442236655963951
33457,0.014714937714495547
84785,0.028802251045123812
88130,0.012776575547176183
44198,0.012847480487394257
119157,0.012815381484013106
24998,0.01311776253213212
122763,0.09078844888350457
121251,0.2502695304597694
78085,0.08051407667279806
5826,0.15138534155279354
10776,0.06172736129076603
149700,0.04344602235105806
41971,0.012704479541217992
45082,0.06348734577030885
99466,0.08986242235023464
105695,0.029320716924532964
